
1444234889.145:  AA AA 04 80 02 00 52 2B
1444234889.145:  AA AA 04 80 02 00 9A E3
1444234889.145:  AA AA 04
1444234889.145:  80 02 00 8D F0
1444234889.145:  AA AA 04 80 02 00 3B 42
1444234889.145:  AA AA 04 80 02 00 94 E9
1444234889.145:  AA AA 04 80 02 00 BB C2
1444234889.145:  AA AA 04 80 02 00 8D
1444234889.161:  F0
1444234889.161:  AA AA 04 80 02 00 98 E5
1444234889.161:  AA AA 04 80 02 00 49 34
1444234889.161:  AA AA 04 80 02 00 3D 40
1444234889.161:  AA AA 04 80 02 00 99 E4
1444234889.161:  AA AA 04
1444234889.161:  80 02 00 4C 31
1444234889.161:  AA AA 04 80 02 00 23 5A
1444234889.161:  AA AA 04 80 02 00 78 05
1444234889.161:  AA AA 04 80 02 00 75 08
1444234889.161:  AA AA 04 80 02 00 76
1444234889.176:  07
1444234889.176:  AA AA 04 80 02 00 6D 10
1444234889.176:  AA AA 04 80 02 00 18 65
1444234889.176:  AA AA 04 80 02 00 63 1A
1444234889.176:  AA AA 04 80 02 00 9B
1444234889.176:  E2
1444234889.176:  AA AA 04
1444234889.176:  80 02 00 41 3C
1444234889.176:  AA AA 04 80 02 00 58 25
1444234889.176:  AA AA 04 80 02 00 72 0B
1444234889.176:  AA AA 04 80 02 00 65 18
1444234889.176:  AA AA 04 80 02 00 92
1444234889.192:  EB
1444234889.192:  AA AA 04 80 02 00 45 38
1444234889.192:  AA AA 04 80 02 FF FF 7F
1444234889.192:  AA AA 04 80 02 00 76 07
1444234889.192:  AA AA 04 80 02 00 88 F5
1444234889.192:  AA AA 04
1444234889.192:  80 02 00 53 2A
1444234889.192:  AA AA 04 80 02 00 71 0C
1444234889.192:  AA AA 04 80 02 00 4A 33
1444234889.192:  AA AA 04 80 02 00 6A 13
1444234889.192:  AA AA 04 80 02 00 9D
1444234889.207:  E0
1444234889.207:  AA AA 04 80 02 00 36 47
1444234889.207:  AA AA 04 80 02 00 3A 43
1444234889.207:  AA 00 04 80 02 00 8D F0 AA AA 04 80 02 00 50 2D
1444234889.207:  AA AA 04
1444234889.223:  80 02 00 54 29
1444234889.223:  AA AA 04 80 02 00 6A 13
1444234889.223:  AA AA 04 80 02 00 4A 33
1444234889.223:  AA AA 04 80 02 00 95 E8
1444234889.223:  AA AA 04 80 02 00 77
1444234889.223:  06
1444234889.223:  AA AA 04 80 02 00 07 76
1444234889.223:  AA AA 04 80 02 00 40 3D
1444234889.223:  AA AA 04 80 02 00 65 18
1444234889.223:  AA AA 04 80 02 00 5C 21
1444234889.223:  AA AA 04
1444234889.239:  80 02 00 A3 DA
1444234889.239:  AA AA 04 80 02 00 6B 12
1444234889.239:  AA AA 04 80 02 00 46 37
1444234889.239:  AA AA 04 80 02 00 99 E4
1444234889.239:  AA AA 04 80 02 00 72
1444234889.239:  0B
1444234889.239:  AA AA 04 80 02 00 6A 13
1444234889.239:  AA AA 04 80 02 00 A1 DC
1444234889.239:  AA AA 04 80 02 00 61 1C
1444234889.239:  AA AA 04 80 02 00 68
1444234889.239:  15
1444234889.239:  AA AA 04
1444234889.254:  80 02 00 85 F8
1444234889.254:  AA AA 04 80 02 00 40 3D
1444234889.254:  AA AA 04 80 02 00 6A 13
1444234889.254:  AA AA 04 80 02 00 90 ED
1444234889.254:  AA AA 04 80 02 00 35
1444234889.254:  48
1444234889.254:  AA AA 04 80 02 00 46 37
1444234889.254:  AA AA 04 80 02 00 47 36
1444234889.254:  AA AA 04 80 02 00 3D 40
1444234889.254:  AA AA 04 80 02 00 B5 C8
1444234889.254:  AA AA 04
1444234889.270:  80 02 00 A7 D6
1444234889.270:  AA AA 04 80 02 00 54 29
1444234889.270:  AA AA 04 80 02 00 7A 03
1444234889.270:  AA AA 04 80 02 00 68 15
1444234889.270:  AA AA 04 80 02 00 58
1444234889.270:  25
1444234889.270:  AA AA 04 80 02 00 89 F4
1444234889.270:  AA AA 04 80 02 00 46 37
1444234889.270:  AA AA 04 80 02 00 4D 30
1444234889.285:  AA AA 04 80 02 00 A0 DD
1444234889.285:  AA AA 04
1444234889.285:  80 02 00 63 1A
1444234889.285:  AA AA 04 80 02 00 58 25
1444234889.285:  AA AA 04 80 02 00 75 08
1444234889.285:  AA AA 04 80 02 00 46 37
1444234889.285:  AA AA 04 80 02 00 71
1444234889.301:  0C
1444234889.301:  AA AA 04 80 02 00 5C 21
1444234889.301:  AA AA 04 80 02 FF E6 98
1444234889.301:  AA AA 04 80 02 00 20 5D
1444234889.301:  AA AA 04 80 02 00 4B 32
1444234889.301:  AA AA 04
1444234889.301:  80 02 00 07 76
1444234889.301:  AA AA 04 80 02 00 0A 73
