H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:45:08.767356 2044 2039 2117.9943 2134.9008 2116.1736 2123.4564 2019.9366 2122.1559 2126.5776 2132.82 2130.219 2123.9766 2123.4564 2121.8958 2132.82 2135.6811 
14:45:08.775328 2044 2039 2115.3933 2125.017 2112.012 2114.613 2019.4164 2114.0928 2125.5372 2135.1609 2134.9008 2131.2594 2120.0751 2123.4564 2129.9589 2138.2821 
14:45:08.783327 2043 2039 2112.7923 2113.0524 2101.3479 2104.4691 2011.0932 2106.2898 2120.3352 2129.6988 2132.5599 2128.1382 2110.1913 2117.214 2121.8958 2140.623 
14:45:08.791440 2043 2039 2114.8731 2113.8327 2099.007 2100.3075 2006.9316 2103.4287 2114.613 2132.82 2128.9185 2121.6357 2110.7115 2119.5549 2125.7973 2139.3225 
14:45:08.798316 2043 2040 2114.613 2107.8504 2102.9085 2090.4237 2005.371 2097.1863 2110.4514 2127.0978 2127.0978 2113.5726 2102.3883 2116.6938 2122.1559 2141.6634 
14:45:08.806317 2042 2039 2107.8504 2098.4868 2101.0878 2085.2217 2011.0932 2102.6484 2118.2544 2117.4741 2132.0397 2118.5145 2088.0828 2105.2494 2110.7115 2139.0624 
14:45:08.814313 2042 2040 2099.5272 2096.406 2098.7469 2086.2621 2018.1159 2109.411 2123.1963 2119.815 2129.9589 2123.4564 2091.7242 2097.9666 2108.8908 2137.7619 
14:45:08.822392 2043 2040 2105.5095 2099.5272 2106.5499 2091.204 2018.6361 2101.8681 2110.9716 2120.8554 2116.9539 2113.0524 2100.3075 2100.5676 2112.5322 2134.1205 
14:45:08.830308 2042 2041 2116.1736 2114.8731 2110.9716 2112.5322 2032.4214 2109.1509 2114.0928 2118.2544 2115.6534 2113.5726 2109.9312 2111.2317 2117.4741 2139.3225 
14:45:08.838318 2044 2041 2113.8327 2123.7165 2114.0928 2124.4968 2048.2875 2123.1963 2129.4387 2121.3756 2127.618 2131.5195 2122.416 2121.3756 2126.3175 2139.5826 
14:45:08.846466 2041 2040 2102.3883 2125.7973 2109.9312 2122.9362 2051.4087 2120.8554 2128.9185 2127.8781 2129.4387 2133.0801 2131.7796 2127.618 2134.6407 2140.1028 
14:45:08.854395 2042 2041 2114.613 2136.4614 2113.5726 2130.219 2055.0501 2122.6761 2127.0978 2140.1028 2135.9412 2130.7392 2138.2821 2139.8427 2144.5245 2129.1786 
