4174.79510,
4185.06101,
4199.02558,
4198.13343,
4193.08049,
4200.49552,
4213.52492,
4216.63026,
4213.24177,
4209.02484,
4207.03441,
4208.24183,
4212.69256,
4211.28890,
4201.48393,
4193.76904,
4205.15211,
4215.68271,
4205.64724,
4194.03558,
4199.71160,
4208.73942,
4208.65817,
4202.69894,
4193.76043,
4192.62354,
4203.32466,
4211.35765,
4204.93944,
4197.48413,
4197.80898,
4202.42104,
4202.76436,
4194.73875,
4184.25426,
4188.28837,
4199.17625,
4204.64029,
4205.24479,
4206.60699,
4207.01534,
4207.25605,
4213.26979,
4216.55549,
4208.16704,
4198.13417,
4203.96733,
4213.35885,
4210.21644,
4200.73629,
4195.86831,
4191.59018,
4191.46531,
4197.19823,
4202.79935,
4203.64574,
4201.92313,
4202.41106,
4204.52929,
4203.96614,
4203.67553,
4203.40471,
4197.93941,
4197.66022,
4205.04938,
4203.99770,
4191.20881,
4190.27839,
4196.78760,
4198.69415,
4193.40338,
4189.47896,
4194.51182,
4200.83917,
4199.27507,
4197.21180,
4200.93818,
4201.40013,
4196.55840,
4195.88145,
4200.66248,
4207.58068,
4207.49256,
4195.19625,
4195.56724,
4209.10389,
4211.02906,
4201.94818,
4199.84420,
4196.98824,
4194.75661,
4201.06166,
4202.28644,
4196.73571,
4196.25336,
4196.98641,
4194.87597,
4192.93853,
4190.04661,
4188.10261,
4188.09966,
4190.44711,
4194.29986,
4192.87704,
4180.84414,
4176.25385,
4184.30485,
4191.92317,
4191.87538,
4193.95110,
4200.84895,
4207.46236,
4213.17373,
4218.70690,
4220.32444,
4221.22024,
4223.91787,
4223.35572,
4224.81918,
4232.22685,
4236.88945,
4230.37936,
4224.41699,
4224.77359,
4228.14231,
4223.16869,
4212.77458,
4207.48762,
4209.95041,
4214.55938,
4214.39343,
4207.18667,
4204.29104,
4209.28635,
4211.74353,
4215.35561,
4224.83542,
4222.37118,
4207.29272,
4207.12915,
4215.67176,
4212.71352,
4202.87569,
4197.68568,
4194.79462,
4199.11025,
4203.76924,
4201.41296,
4194.67386,
4193.87625,
4201.34476,
4205.35430,
4198.96110,
4195.82765,
4202.08078,
4204.75842,
4210.96611,
4220.71553,
4222.10083,
4218.75467,
4218.54930,
4216.13100,
4216.01262,
4217.05234,
4214.19745,
4211.25008,
4218.04983,
4220.84098,
4210.91454,
4203.99659,
4206.37870,
4209.89790,
4212.97924,
4217.70339,
4211.34834,
4201.45523,
4204.17562,
4208.49230,
4202.22734,
4194.79027,
4189.67445,
4192.46604,
4202.14238,
4205.43351,
4196.27398,
4192.57756,
4198.51009,
4201.00881,
4198.48909,
4197.90708,
4196.23907,
4188.20368,
4189.96244,
4200.68675,
4204.23805,
4196.83094,
4189.19602,
4193.19002,
4206.75926,
4207.30169,
4196.44861,
4193.21031,
4198.92626,
4202.32469,
4202.47407,
4197.64013,
4188.96626,
4186.18854,
4191.43380,
4197.57146,
4196.59371,
4192.00341,
4189.73793,
4189.07289,
4183.85627,
4183.49336,
4186.15126,
4184.02122,
4182.88360,
4190.68417,
4188.43397,
4179.26466,
4184.41861,
4198.21541,
4201.99156,
4195.51066,
4195.64457,
4206.67025,
