 sampling:128, subject:ethan                                                                           , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, chan:40, units:emotiv,,,,,,,,,
3196.410156,3532.307617,3085.640869,3997.435791,3430.769043,4049.230713,4194.358887,4189.743652,3679.487061,3613.845947,3993.845947,3525.640869,3482.05127,3941.53833
3214.358887,3569.230713,3104.615234,4006.666504,3463.076904,4054.358887,4194.358887,4188.205078,3694.358887,3637.435791,4001.53833,3546.153809,3515.897461,3950.256348
3246.153809,3614.871826,3131.794678,4017.94873,3509.230713,4061.025635,4198.974121,4186.666504,3731.281982,3687.179443,4015.384521,3577.94873,3550.769043,3965.128174
3256.410156,3631.281982,3144.102539,4015.897217,3523.5896,4063.076904,4202.05127,4185.12793,3746.153809,3703.076904,4021.53833,3590.256348,3568.717773,3970.769043
3233.846191,3617.435791,3127.179443,4004.615234,3509.743408,4059.487061,4203.07666,4184.615234,3727.179443,3674.358887,4007.692139,3578.461426,3557.94873,3953.333252
3262.563965,3658.974365,3158.974365,4021.53833,3542.05127,4067.692139,4200,4186.666504,3756.410156,3702.05127,4017.435791,3620.512695,3595.897461,3968.717773
3325.128174,3729.230713,3219.487061,4045.128174,3607.692139,4076.410156,4198.461426,4186.153809,3806.666504,3764.615234,4041.025635,3681.53833,3663.5896,4001.53833
3342.563965,3757.94873,3238.461426,4043.5896,3632.307617,4075.897217,4199.487305,4183.589844,3820.512695,3792.307617,4045.128174,3703.076904,3689.743408,4000
3346.153809,3773.845947,3248.717773,4043.5896,3629.743408,4078.974365,4200,4186.666504,3835.384521,3812.307617,4055.897217,3722.05127,3708.717773,4003.076904
3405.640869,3842.05127,3310.769043,4067.179443,3693.333252,4089.230713,4200,4191.281738,3891.794678,3881.53833,4093.845947,3785.128174,3781.025635,4040.512695
3421.53833,3868.205078,3332.307617,4067.179443,3726.153809,4087.692139,4198.974121,4190.769043,3910.256348,3910.769043,4095.384521,3807.692139,3808.205078,4033.333252
3381.53833,3848.205078,3311.281982,4054.871582,3693.845947,4083.5896,4194.358887,4189.743652,3892.820313,3889.230713,4076.410156,3791.281982,3790.769043,4007.692139
3366.666504,3855.897461,3310.256348,4054.358887,3685.640869,4088.205078,4194.358887,4191.281738,3890.769043,3880,4075.384521,3785.640869,3793.333252,4015.384521
3397.435791,3900,3337.435791,4060.512695,3735.384521,4094.358887,4200.512695,4186.153809,3915.897461,3915.384521,4086.666504,3809.743408,3824.615234,4041.025635
3437.435791,3943.076904,3371.281982,4073.333252,3782.05127,4098.974121,4201.538574,4183.589844,3942.563965,3965.128174,4102.563965,3851.281982,3869.230713,4054.871582
3449.230713,3961.53833,3383.076904,4079.487061,3788.717773,4103.07666,4194.871582,4189.230469,3952.820313,3981.025635,4105.641113,3870.769043,3896.923096,4050.769043
3417.435791,3948.205078,3361.53833,4064.102539,3769.230713,4100.512695,4195.897461,4191.281738,3949.230713,3962.563965,4086.153809,3852.307617,3881.025635,4033.333252
3411.794678,3956.410156,3361.53833,4061.025635,3780.512695,4097.94873,4200.512695,4187.179199,3952.820313,3968.717773,4085.640869,3851.794678,3885.128174,4041.025635
3431.794678,3983.5896,3376.923096,4074.358887,3811.794678,4100,4201.025391,4186.153809,3967.179443,3989.743408,4100,3866.666504,3915.384521,4058.461426
3432.307617,3995.897217,3384.102539,4075.897217,3821.53833,4102.05127,4198.974121,4187.692383,3992.820313,4003.5896,4102.563965,3874.358887,3930.769043,4066.666504
3467.692139,4042.563965,3435.384521,4084.615234,3861.025635,4107.179199,4198.974121,4188.205078,4038.461426,4053.333252,4124.615234,3923.076904,3981.53833,4087.692139
3496.410156,4072.307617,3459.487061,4090.769043,3879.487061,4111.281738,4199.487305,4189.230469,4045.640869,4073.845947,4136.922852,3950.256348,4013.845947,4089.230713
3451.794678,4032.820313,3404.102539,4074.871582,3828.717773,4108.205078,4196.410156,4191.281738,4014.358887,4028.205078,4105.641113,3915.897461,3972.820313,4060.512695
3416.923096,4016.923096,3381.53833,4069.743408,3814.358887,4109.230469,4197.436035,4189.230469,4003.5896,4004.615234,4091.794678,3904.102539,3953.845947,4061.025635
3453.333252,4068.205078,3426.153809,4086.666504,3865.128174,4114.358887,4202.05127,4185.12793,4018.974365,4039.487061,4117.94873,3941.53833,4000,4090.769043
3448.205078,4067.179443,3417.435791,4080,3853.845947,4106.153809,4202.563965,4186.153809,4008.717773,4033.333252,4114.871582,3934.871582,4001.025635,4081.53833
3423.5896,4056.410156,3404.615234,4070.769043,3836.410156,4100.512695,4197.436035,4189.230469,4009.743408,4026.153809,4100,3927.692139,3996.923096,4073.333252
3413.333252,4067.179443,3415.384521,4071.281982,3847.692139,4104.102539,4195.897461,4187.692383,4008.205078,4032.820313,4093.333252,3930.256348,4007.692139,4076.923096
3407.179443,4075.897217,3417.94873,4067.692139,3849.743408,4106.666504,4196.410156,4183.589844,4008.717773,4030.256348,4090.256348,3935.384521,4010.769043,4082.05127
3403.076904,4082.05127,3417.435791,4064.615234,3852.307617,4109.230469,4196.922852,4185.641113,4030.769043,4025.640869,4094.871582,3947.179443,4015.897217,4091.281982
3416.923096,4105.12793,3434.871826,4071.794678,3888.205078,4115.384277,4200,4189.743652,4052.307617,4048.205078,4103.07666,3960,4041.025635,4107.692383
3411.794678,4102.563965,3435.384521,4066.153809,3887.692139,4114.871582,4201.538574,4190.256348,4042.05127,4063.5896,4088.717773,3956.923096,4045.640869,4101.025391
3406.153809,4106.666504,3442.563965,4058.974365,3868.205078,4111.281738,4196.922852,4190.256348,4046.153809,4067.692139,4086.153809,3973.845947,4057.435791,4101.538574
3399.487061,4121.538574,3443.5896,4061.53833,3866.666504,4111.794922,4195.384277,4191.794922,4043.5896,4056.923096,4093.845947,3974.871582,4067.179443,4105.12793
3385.640869,4124.102539,3430.256348,4064.102539,3878.461426,4114.358887,4198.974121,4187.692383,4032.820313,4054.871582,4093.845947,3958.974365,4063.076904,4103.07666
3374.871826,4122.563965,3434.358887,4062.563965,3874.871582,4112.307617,4200.512695,4183.589844,4043.076904,4075.384521,4094.871582,3969.743408,4069.743408,4105.641113
3378.974365,4133.846191,3446.153809,4065.128174,3872.307617,4113.333008,4200,4185.12793,4039.487061,4089.743408,4095.897217,3986.666504,4088.717773,4111.281738
3398.461426,4145.641113,3449.230713,4071.794678,3883.076904,4118.461426,4199.487305,4186.666504,4036.410156,4094.871582,4094.871582,3992.820313,4098.461426,4106.153809
3398.461426,4137.94873,3443.5896,4068.205078,3869.743408,4117.436035,4197.436035,4186.153809,4053.333252,4082.05127,4090.769043,3989.743408,4089.743408,4102.563965
3381.53833,4134.871582,3441.53833,4057.435791,3860.512695,4113.333008,4193.846191,4185.641113,4055.897217,4065.128174,4088.205078,3981.53833,4083.5896,4107.179199
3364.102539,4128.717773,3427.179443,4046.153809,3864.102539,4113.846191,4197.436035,4185.641113,4030.256348,4050.256348,4081.025635,3966.153809,4073.845947,4104.102539
3360.512695,4121.025391,3417.435791,4042.563965,3865.128174,4113.846191,4202.563965,4190.769043,4028.717773,4051.281982,4078.974365,3965.640869,4074.358887,4103.07666
3363.076904,4128.717773,3425.640869,4042.563965,3864.102539,4112.820313,4202.563965,4191.794922,4043.5896,4066.666504,4083.076904,3972.307617,4085.128174,4107.692383
3376.410156,4154.871582,3443.5896,4046.666504,3868.205078,4118.461426,4197.94873,4184.615234,4051.281982,4093.845947,4088.717773,3986.153809,4106.666504,4115.384277
3354.358887,4133.846191,3422.05127,4037.435791,3836.410156,4116.922852,4196.922852,4185.12793,4030.769043,4065.640869,4075.384521,3966.153809,4088.717773,4103.589844
3337.435791,4116.922852,3408.717773,4026.153809,3834.871582,4113.333008,4198.974121,4191.281738,4020,4040,4069.743408,3949.230713,4074.358887,4100
3342.05127,4124.102539,3416.923096,4021.53833,3854.871582,4112.820313,4200,4189.743652,4022.05127,4057.94873,4073.845947,3957.94873,4085.128174,4104.102539
3322.563965,4101.538574,3400.512695,4012.307617,3816.923096,4106.153809,4200.512695,4184.615234,4007.179443,4044.102539,4055.897217,3944.615234,4076.410156,4093.333252
3272.820313,4052.307617,3358.974365,3992.820313,3757.94873,4101.538574,4200,4185.12793,3972.307617,3986.666504,4024.615234,3903.076904,4033.333252,4071.794678
3297.435791,4088.205078,3385.640869,4001.025635,3801.025635,4111.281738,4194.358887,4186.153809,3999.487061,4014.871582,4044.615234,3940.512695,4058.461426,4095.897217
3339.487061,4145.641113,3431.281982,4016.923096,3860.512695,4116.922852,4194.358887,4186.153809,4047.179443,4075.897217,4075.384521,3995.897217,4113.333008,4121.538574
3301.025635,4116.922852,3408.717773,4000,3832.307617,4107.692383,4199.487305,4186.666504,4031.794678,4050.256348,4054.871582,3963.5896,4094.871582,4102.05127
3236.923096,4048.717773,3353.846191,3971.281982,3770.256348,4097.94873,4200.512695,4187.179199,3984.102539,3988.717773,4021.025635,3906.153809,4035.384521,4073.845947
3246.153809,4057.435791,3356.410156,3976.410156,3767.179443,4097.94873,4197.436035,4188.717773,3988.717773,3990.256348,4031.794678,3921.53833,4037.435791,4087.179443
3304.102539,4128.717773,3409.743408,3998.974365,3816.410156,4107.179199,4196.922852,4190.256348,4041.025635,4047.179443,4058.461426,3973.845947,4096.410156,4113.333008
3335.897461,4173.333008,3450.256348,4008.717773,3868.717773,4114.871582,4197.436035,4189.230469,4078.461426,4095.384521,4068.205078,4006.153809,4137.94873,4126.666504
3314.358887,4155.897461,3436.923096,4002.05127,3866.153809,4113.333008,4200.512695,4187.692383,4063.076904,4076.923096,4060,3993.845947,4124.102539,4116.410156
3283.076904,4118.461426,3400.512695,3989.743408,3821.025635,4108.205078,4202.05127,4190.256348,4034.871582,4029.743408,4042.563965,3962.05127,4090.769043,4102.563965
3304.615234,4133.846191,3416.410156,3993.333252,3831.794678,4109.230469,4199.487305,4192.820313,4057.435791,4054.358887,4047.179443,3984.102539,4112.820313,4114.358887
3322.563965,4163.07666,3442.05127,3998.461426,3860.512695,4113.846191,4197.436035,4192.307617,4072.820313,4087.179443,4060,4018.974365,4148.205078,4124.102539
3297.435791,4156.410156,3425.128174,3988.717773,3834.358887,4112.820313,4194.358887,4191.281738,4051.794678,4063.076904,4052.307617,4008.205078,4138.461426,4107.692383
3289.230713,4147.692383,3414.871826,3984.102539,3821.025635,4110.256348,4196.410156,4190.256348,4058.461426,4056.923096,4043.5896,3993.845947,4125.641113,4104.102539
3343.5896,4196.410156,3467.692139,4001.53833,3885.128174,4115.897461,4201.538574,4188.205078,4103.589844,4114.358887,4063.076904,4041.53833,4176.410156,4134.871582
3357.94873,4213.846191,3482.05127,4001.025635,3905.640869,4118.461426,4201.025391,4188.205078,4089.743408,4113.846191,4063.5896,4057.435791,4200.512695,4132.307617
3327.179443,4185.12793,3454.871826,3984.102539,3863.076904,4110.769043,4195.384277,4189.230469,4058.461426,4078.974365,4048.205078,4030.769043,4174.358887,4111.281738
3315.897461,4185.12793,3457.435791,3983.5896,3857.435791,4108.717773,4195.897461,4190.256348,4068.205078,4082.563965,4044.615234,4031.281982,4165.641113,4115.897461
3332.820313,4224.102539,3482.563965,3995.384521,3908.717773,4117.436035,4199.487305,4189.743652,4094.871582,4116.410156,4052.307617,4063.076904,4191.794922,4133.846191
3318.461426,4217.436035,3468.205078,3988.205078,3909.743408,4116.922852,4200.512695,4190.256348,4094.358887,4120.512695,4047.692139,4056.923096,4188.717773,4127.692383
3310.256348,4200.512695,3461.53833,3980.512695,3889.743408,4114.358887,4198.461426,4191.281738,4090.256348,4111.281738,4045.640869,4044.102539,4184.615234,4124.615234
3328.205078,4219.487305,3482.05127,3986.666504,3907.179443,4116.410156,4198.974121,4190.769043,4090.769043,4116.410156,4052.307617,4060,4202.563965,4129.743652
3336.410156,4238.974121,3494.871826,3990.769043,3920,4117.436035,4198.974121,4188.717773,4093.845947,4131.281738,4057.435791,4079.487061,4216.410156,4131.281738
3324.615234,4225.12793,3487.179443,3982.563965,3898.461426,4115.897461,4197.436035,4190.256348,4095.384521,4123.07666,4049.743408,4070.769043,4208.205078,4126.666504
3340,4234.871582,3500.512695,3981.53833,3918.461426,4120.512695,4199.487305,4190.256348,4110.769043,4131.794922,4054.358887,4080,4223.589844,4140.512695
3354.871826,4254.871582,3520,3986.153809,3948.717773,4123.07666,4202.563965,4187.179199,4124.615234,4160.512695,4065.128174,4107.179199,4250.256348,4149.743652
3362.05127,4270.769043,3534.358887,3992.307617,3942.05127,4122.05127,4199.487305,4188.717773,4135.897461,4176.922852,4069.743408,4126.666504,4269.743652,4148.717773
3397.435791,4312.820313,3567.179443,4006.153809,3957.435791,4129.743652,4194.871582,4191.281738,4166.153809,4203.07666,4084.615234,4156.922852,4303.589844,4159.487305
3411.794678,4335.384277,3580.512695,4009.743408,3980,4136.410156,4195.897461,4189.743652,4172.307617,4214.871582,4094.871582,4174.358887,4314.358887,4168.205078
3390.256348,4315.384277,3563.5896,3998.461426,3978.461426,4131.794922,4200,4189.743652,4144.102539,4192.820313,4084.615234,4158.461426,4294.358887,4160.512695
3380.512695,4301.538574,3555.384521,3992.820313,3977.94873,4127.179199,4201.025391,4190.769043,4135.897461,4179.487305,4077.435791,4142.05127,4285.641113,4155.384277
3397.94873,4312.307617,3569.230713,3998.461426,3983.5896,4131.794922,4195.897461,4187.179199,4160,4201.538574,4089.743408,4159.487305,4303.589844,4160
3396.923096,4310.256348,3568.205078,3998.974365,3966.153809,4135.897461,4193.846191,4187.692383,4165.12793,4196.410156,4088.717773,4164.102539,4305.12793,4156.410156
3396.923096,4324.615234,3575.897461,3997.435791,3975.897217,4138.461426,4197.94873,4190.769043,4176.922852,4196.922852,4087.179443,4168.205078,4308.717773,4158.461426
3379.487061,4313.846191,3565.128174,3986.666504,3981.53833,4134.871582,4200.512695,4190.256348,4162.05127,4192.307617,4089.230713,4162.563965,4294.871582,4156.410156
3363.076904,4284.102539,3544.615234,3976.923096,3969.230713,4130.769043,4197.94873,4188.717773,4125.12793,4171.794922,4087.692139,4148.205078,4276.922852,4155.384277
3375.384521,4291.794922,3557.435791,3981.53833,3973.333252,4133.846191,4198.461426,4191.794922,4135.384277,4173.333008,4088.205078,4157.94873,4286.666504,4162.05127
3399.487061,4317.94873,3585.128174,3988.717773,3986.153809,4138.974121,4201.025391,4193.333008,4177.94873,4198.461426,4099.487305,4190.256348,4310.256348,4169.230469
3377.435791,4288.205078,3558.461426,3974.871582,3949.743408,4132.307617,4198.461426,4192.307617,4154.871582,4172.820313,4085.128174,4171.281738,4287.692383,4156.922852
3366.153809,4281.538574,3548.205078,3970.769043,3947.179443,4129.743652,4193.846191,4191.794922,4136.922852,4159.487305,4074.871582,4155.384277,4278.461426,4164.615234
3409.230713,4344.102539,3603.5896,3991.281982,4011.794678,4140.512695,4196.410156,4191.281738,4185.641113,4216.410156,4103.07666,4205.12793,4330.256348,4192.820313
3456.410156,4392.820313,3654.871826,4011.281982,4058.461426,4148.717773,4198.974121,4188.717773,4219.487305,4265.641113,4124.615234,4256.922852,4379.487305,4210.256348
3430.256348,4362.05127,3630.256348,4002.563965,4030.769043,4143.589844,4196.410156,4187.179199,4187.179199,4235.384277,4098.461426,4230.256348,4351.281738,4186.666504
3398.461426,4333.846191,3602.05127,3987.179443,4003.076904,4136.410156,4191.281738,4186.666504,4171.794922,4203.589844,4091.281982,4199.487305,4320,4171.794922
3420,4358.461426,3624.615234,3991.281982,4022.05127,4138.461426,4193.333008,4185.641113,4197.94873,4220,4120,4215.384277,4344.102539,4187.692383
3439.487061,4375.384277,3642.05127,3997.94873,4038.974365,4140.512695,4199.487305,4186.666504,4212.307617,4243.07666,4123.07666,4229.230469,4363.07666,4198.974121
3445.128174,4375.384277,3638.461426,3996.410156,4036.923096,4140,4200.512695,4189.743652,4215.897461,4267.179199,4117.94873,4237.94873,4370.769043,4197.436035
3462.05127,4385.641113,3645.128174,3995.897217,4041.53833,4141.538574,4195.897461,4191.794922,4221.538574,4288.205078,4135.897461,4251.281738,4387.692383,4198.461426
3480,4410.256348,3665.640869,4004.102539,4065.640869,4147.692383,4194.871582,4193.333008,4225.12793,4294.871582,4147.692383,4270.256348,4407.179199,4204.102539
3482.563965,4426.153809,3679.487061,4010.256348,4080.512695,4151.281738,4198.974121,4193.846191,4229.743652,4288.717773,4138.974121,4287.179199,4416.410156,4211.281738
3498.461426,4443.589844,3697.435791,4014.358887,4091.281982,4153.846191,4198.461426,4190.769043,4249.743652,4303.589844,4142.05127,4301.538574,4433.333008,4222.563965
3510.256348,4449.743652,3704.102539,4015.384521,4103.07666,4154.358887,4195.897461,4189.230469,4267.179199,4324.615234,4152.307617,4302.563965,4443.589844,4223.07666
3516.923096,4454.358887,3711.281982,4017.435791,4116.922852,4152.307617,4195.897461,4190.256348,4275.897461,4336.922852,4155.384277,4312.820313,4452.820313,4221.025391
3504.102539,4443.589844,3706.666504,4011.281982,4105.12793,4151.281738,4195.897461,4191.794922,4262.563965,4313.333008,4147.179199,4304.615234,4442.563965,4213.846191
3486.153809,4432.307617,3697.435791,4003.076904,4089.743408,4151.794922,4194.358887,4191.794922,4253.846191,4290.256348,4145.12793,4288.205078,4423.07666,4209.230469
3466.666504,4411.281738,3680.512695,3994.358887,4066.153809,4146.153809,4196.922852,4192.307617,4242.563965,4274.871582,4138.974121,4274.871582,4399.487305,4204.615234
3471.281982,4400.512695,3674.358887,3990.256348,4058.461426,4144.615234,4201.538574,4191.794922,4233.846191,4277.94873,4134.358887,4272.820313,4397.435547,4208.205078
