 sampling:128, subject:ERIK                                                                            , labels:COUNTER INTERPOLATED AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, chan:40, units:emotiv,,,,,,,,,
4091.281982,4064.615234,4195.897461,4197.436035,4158.461426,4196.922852,4197.436035,4195.897461,4159.487305,4160,4187.692383,4081.025635,4151.281738,4199.487305
4089.230713,4073.333252,4194.358887,4194.358887,4157.436035,4195.897461,4195.384277,4194.358887,4164.102539,4149.743652,4187.179199,4078.461426,4160,4201.025391
4095.897217,4063.5896,4199.487305,4193.846191,4156.410156,4195.897461,4196.410156,4192.820313,4158.974121,4156.922852,4188.717773,4081.025635,4160,4195.897461
4103.589844,4070.769043,4196.410156,4195.384277,4158.974121,4190.256348,4194.358887,4195.384277,4163.589844,4164.615234,4189.230469,4082.05127,4160.512695,4194.358887
4092.307617,4072.820313,4199.487305,4198.974121,4160.512695,4193.333008,4196.922852,4197.94873,4160,4149.230469,4186.153809,4079.487061,4156.410156,4195.897461
4089.230713,4086.666504,4196.410156,4192.307617,4163.07666,4195.384277,4195.897461,4195.897461,4159.487305,4150.769043,4187.179199,4077.435791,4156.410156,4196.410156
4094.358887,4065.640869,4197.94873,4194.871582,4161.025391,4196.922852,4200.512695,4195.897461,4158.974121,4158.461426,4186.666504,4077.435791,4153.846191,4197.94873
4097.94873,4053.333252,4193.846191,4196.922852,4161.538574,4194.871582,4195.897461,4195.384277,4162.563965,4157.436035,4185.12793,4077.435791,4151.794922,4200
4091.794678,4064.615234,4197.436035,4197.94873,4162.563965,4195.384277,4192.307617,4192.307617,4160.512695,4147.179199,4187.692383,4077.94873,4148.717773,4199.487305
4088.205078,4090.256348,4196.410156,4194.871582,4163.589844,4193.846191,4193.846191,4193.333008,4163.589844,4160,4189.230469,4076.410156,4154.871582,4197.436035
4087.692139,4086.153809,4198.461426,4194.871582,4162.563965,4195.897461,4197.436035,4196.922852,4163.589844,4167.692383,4188.717773,4077.94873,4160.512695,4196.922852
4094.358887,4085.128174,4197.436035,4193.333008,4164.102539,4194.358887,4193.846191,4194.871582,4160,4165.641113,4190.769043,4079.487061,4162.563965,4195.384277
4094.358887,4089.743408,4198.974121,4195.384277,4165.12793,4192.307617,4195.897461,4193.333008,4153.846191,4166.666504,4189.743652,4080.512695,4160,4195.897461
4095.897217,4092.820313,4198.461426,4195.384277,4167.692383,4194.871582,4199.487305,4195.897461,4158.461426,4170.256348,4186.666504,4080,4160,4198.974121
4100.512695,4097.94873,4196.922852,4192.820313,4168.717773,4195.897461,4198.974121,4196.410156,4167.692383,4168.717773,4189.230469,4077.94873,4161.538574,4199.487305
4099.487305,4106.153809,4198.461426,4195.384277,4166.153809,4194.358887,4198.461426,4193.846191,4168.717773,4164.615234,4190.769043,4077.435791,4160,4195.384277
4099.487305,4110.769043,4196.922852,4196.922852,4169.230469,4196.922852,4196.922852,4195.384277,4169.743652,4166.666504,4190.769043,4077.94873,4161.538574,4193.333008
4103.589844,4096.410156,4198.461426,4195.897461,4172.820313,4201.538574,4197.436035,4196.410156,4168.205078,4168.717773,4193.333008,4077.435791,4160.512695,4195.897461
4105.12793,4109.230469,4195.384277,4192.820313,4174.358887,4197.436035,4194.871582,4193.333008,4170.769043,4173.846191,4193.333008,4077.94873,4160,4201.025391
4097.94873,4121.025391,4196.922852,4197.436035,4173.846191,4197.436035,4197.436035,4192.820313,4170.256348,4168.205078,4189.230469,4075.384521,4161.538574,4198.974121
4104.102539,4111.281738,4195.384277,4196.410156,4175.384277,4194.871582,4195.897461,4195.897461,4169.230469,4173.333008,4188.717773,4073.333252,4165.641113,4195.384277
4108.205078,4081.025635,4202.05127,4196.922852,4171.794922,4193.333008,4196.922852,4197.436035,4166.153809,4170.769043,4187.179199,4074.871582,4159.487305,4195.897461
4106.153809,4105.12793,4197.94873,4194.358887,4172.307617,4190.769043,4194.358887,4195.897461,4178.974121,4173.333008,4186.153809,4076.410156,4166.153809,4197.436035
4113.846191,4132.307617,4198.974121,4197.94873,4174.358887,4193.846191,4197.94873,4195.897461,4176.410156,4169.230469,4188.717773,4075.897217,4168.717773,4194.358887
4145.12793,4142.563965,4196.922852,4196.410156,4175.384277,4194.871582,4195.384277,4195.897461,4170.769043,4170.256348,4190.769043,4074.871582,4163.589844,4195.897461
4158.461426,4120,4198.461426,4196.922852,4173.846191,4197.94873,4193.846191,4194.358887,4174.358887,4176.410156,4187.692383,4072.820313,4162.05127,4195.897461
4151.794922,4111.794922,4194.358887,4195.384277,4175.897461,4196.922852,4193.846191,4193.333008,4180.512695,4187.179199,4187.179199,4071.794678,4171.794922,4194.871582
4143.589844,4102.563965,4197.436035,4196.922852,4174.358887,4196.922852,4198.461426,4193.333008,4168.717773,4167.179199,4186.153809,4070.769043,4165.641113,4197.94873
4143.589844,4101.538574,4197.94873,4194.871582,4171.281738,4195.384277,4195.384277,4193.846191,4161.538574,4152.820313,4187.179199,4072.820313,4157.94873,4201.025391
4137.94873,4095.384521,4200,4195.384277,4168.205078,4195.384277,4194.871582,4194.871582,4162.563965,4163.589844,4188.717773,4074.871582,4156.410156,4200
4138.461426,4097.94873,4196.410156,4196.410156,4168.205078,4192.820313,4195.384277,4196.922852,4164.615234,4171.281738,4189.230469,4072.307617,4157.436035,4197.94873
4140,4093.845947,4195.384277,4195.897461,4171.281738,4191.794922,4194.358887,4197.94873,4168.717773,4171.794922,4190.256348,4071.281982,4160,4196.410156
4140,4093.333252,4197.94873,4193.333008,4174.871582,4193.333008,4195.384277,4194.358887,4171.794922,4180,4189.230469,4071.794678,4159.487305,4195.384277
4142.563965,4100,4196.410156,4194.358887,4175.384277,4193.846191,4197.94873,4193.333008,4169.743652,4176.410156,4187.179199,4071.281982,4158.461426,4197.436035
4146.666504,4096.410156,4194.871582,4198.974121,4173.846191,4193.846191,4198.461426,4197.436035,4166.153809,4161.025391,4187.179199,4069.230713,4157.436035,4197.94873
4152.307617,4105.641113,4196.410156,4198.461426,4176.922852,4192.307617,4195.897461,4198.461426,4169.230469,4172.307617,4188.717773,4070.769043,4158.974121,4196.922852
4148.205078,4107.692383,4201.025391,4198.974121,4175.897461,4193.846191,4198.974121,4195.384277,4167.179199,4175.384277,4185.641113,4071.281982,4159.487305,4195.384277
4143.07666,4106.153809,4194.358887,4196.410156,4176.922852,4193.333008,4197.436035,4196.410156,4167.179199,4163.589844,4184.102539,4071.794678,4165.12793,4194.871582
4143.07666,4099.487305,4197.94873,4195.897461,4176.922852,4193.846191,4198.974121,4197.94873,4171.281738,4163.589844,4186.666504,4070.769043,4163.589844,4197.94873
4144.615234,4106.666504,4197.436035,4193.333008,4174.871582,4192.307617,4195.897461,4195.384277,4175.384277,4183.07666,4189.743652,4070.769043,4162.563965,4198.974121
4136.410156,4093.845947,4200.512695,4195.897461,4172.820313,4195.897461,4196.922852,4195.384277,4165.641113,4174.358887,4189.230469,4070.769043,4158.461426,4194.871582
4137.94873,4098.461426,4195.897461,4193.333008,4175.897461,4192.820313,4195.384277,4197.436035,4166.666504,4166.666504,4187.692383,4068.205078,4157.94873,4193.333008
4138.974121,4090.769043,4197.94873,4194.358887,4173.846191,4193.333008,4199.487305,4196.410156,4172.820313,4170.769043,4184.615234,4068.717773,4157.94873,4194.871582
4140,4095.897217,4194.871582,4192.820313,4171.794922,4194.358887,4195.897461,4194.358887,4175.384277,4174.871582,4186.666504,4071.794678,4166.153809,4197.94873
4140,4108.717773,4196.922852,4197.94873,4172.307617,4197.436035,4198.461426,4196.922852,4165.12793,4168.205078,4189.230469,4070.769043,4164.615234,4196.922852
4146.153809,4113.846191,4194.358887,4198.974121,4176.410156,4195.897461,4199.487305,4196.922852,4168.205078,4175.384277,4187.179199,4067.692139,4158.461426,4192.307617
4144.615234,4087.179443,4199.487305,4198.461426,4177.94873,4194.358887,4196.410156,4194.358887,4171.281738,4166.666504,4185.641113,4069.230713,4155.384277,4193.846191
4142.563965,4102.05127,4198.461426,4196.410156,4176.922852,4191.794922,4193.846191,4194.871582,4172.307617,4163.07666,4188.717773,4069.743408,4162.563965,4199.487305
4137.436035,4121.538574,4196.922852,4197.436035,4174.871582,4193.846191,4200,4197.94873,4172.307617,4183.07666,4191.281738,4069.230713,4164.102539,4196.922852
4142.05127,4109.230469,4194.358887,4196.922852,4177.436035,4194.871582,4197.94873,4197.94873,4172.820313,4196.410156,4190.769043,4069.230713,4163.589844,4192.820313
4145.641113,4103.07666,4192.307617,4194.871582,4179.487305,4192.820313,4192.820313,4197.436035,4170.769043,4183.07666,4188.717773,4067.692139,4166.666504,4195.897461
4135.384277,4115.384277,4193.846191,4192.307617,4175.897461,4191.794922,4195.897461,4196.410156,4170.769043,4174.871582,4184.615234,4066.153809,4168.205078,4195.384277
4126.666504,4106.666504,4195.897461,4191.281738,4173.846191,4193.333008,4196.410156,4193.846191,4174.358887,4181.025391,4183.589844,4067.179443,4166.666504,4194.358887
4131.281738,4090.769043,4194.871582,4194.871582,4171.281738,4195.384277,4193.333008,4195.897461,4170.256348,4175.384277,4185.641113,4067.692139,4162.563965,4196.410156
4137.94873,4110.256348,4191.794922,4194.358887,4168.717773,4193.333008,4192.307617,4198.974121,4170.769043,4176.922852,4186.666504,4068.205078,4164.615234,4195.897461
4135.897461,4108.717773,4199.487305,4195.384277,4167.692383,4192.307617,4197.436035,4195.897461,4172.307617,4177.94873,4185.12793,4067.179443,4166.666504,4194.871582
4135.897461,4105.12793,4195.384277,4194.358887,4171.794922,4190.769043,4195.384277,4193.333008,4173.333008,4181.538574,4188.717773,4064.615234,4168.205078,4197.94873
4133.846191,4111.794922,4194.358887,4196.410156,4171.794922,4193.846191,4196.922852,4195.897461,4170.256348,4178.974121,4189.743652,4063.076904,4164.615234,4196.922852
4144.102539,4126.666504,4192.820313,4193.846191,4172.307617,4191.281738,4195.384277,4196.410156,4174.358887,4182.05127,4188.205078,4065.640869,4170.769043,4194.871582
4148.717773,4101.025391,4197.94873,4195.897461,4170.256348,4191.281738,4196.922852,4195.897461,4173.333008,4182.05127,4186.153809,4067.179443,4171.281738,4193.846191
4142.05127,4103.07666,4194.358887,4192.307617,4170.256348,4190.256348,4193.333008,4196.410156,4176.922852,4189.743652,4186.666504,4064.102539,4170.256348,4194.358887
4133.333008,4116.922852,4197.94873,4193.333008,4169.743652,4193.333008,4195.384277,4193.846191,4175.384277,4184.102539,4187.179199,4061.53833,4168.205078,4195.384277
4140,4127.179199,4194.358887,4191.794922,4173.846191,4192.307617,4192.307617,4191.794922,4174.358887,4179.487305,4186.666504,4062.563965,4171.281738,4193.846191
4146.153809,4113.846191,4194.358887,4193.846191,4173.846191,4194.358887,4195.384277,4193.846191,4173.846191,4173.846191,4184.615234,4064.102539,4167.179199,4192.307617
4154.871582,4114.871582,4192.820313,4191.281738,4173.333008,4192.307617,4196.922852,4194.871582,4181.538574,4181.538574,4186.666504,4064.615234,4167.692383,4192.820313
4160,4115.384277,4195.384277,4193.333008,4172.307617,4191.794922,4195.897461,4195.384277,4180.512695,4190.769043,4188.717773,4064.615234,4170.256348,4192.820313
4162.563965,4128.717773,4193.846191,4193.846191,4170.769043,4193.333008,4192.820313,4195.897461,4181.025391,4198.461426,4189.230469,4064.102539,4172.820313,4191.794922
4159.487305,4121.025391,4195.384277,4193.846191,4169.743652,4196.922852,4196.410156,4195.897461,4182.05127,4195.384277,4187.692383,4064.615234,4173.333008,4192.820313
4158.974121,4105.12793,4197.94873,4193.846191,4171.281738,4194.358887,4197.94873,4195.384277,4179.487305,4191.281738,4186.153809,4064.102539,4171.281738,4192.820313
4153.333008,4108.717773,4196.922852,4193.846191,4170.256348,4193.333008,4195.384277,4195.384277,4176.922852,4187.692383,4186.153809,4061.025635,4167.179199,4193.846191
4147.692383,4125.641113,4196.410156,4193.846191,4168.205078,4195.384277,4196.410156,4193.333008,4176.410156,4176.922852,4187.179199,4061.53833,4166.153809,4194.358887
4148.205078,4140.512695,4194.871582,4192.820313,4169.743652,4192.820313,4197.436035,4191.794922,4174.871582,4173.846191,4187.179199,4064.615234,4172.307617,4193.333008
4152.820313,4122.563965,4196.922852,4194.871582,4169.230469,4192.307617,4198.974121,4194.358887,4171.794922,4181.538574,4184.102539,4060.512695,4172.820313,4192.820313
4155.384277,4110.769043,4195.384277,4196.922852,4169.743652,4192.307617,4195.897461,4196.410156,4177.436035,4193.333008,4183.589844,4060,4168.205078,4193.846191
4148.717773,4110.256348,4199.487305,4201.538574,4170.256348,4193.333008,4194.358887,4196.410156,4180,4188.205078,4185.12793,4062.563965,4163.07666,4193.846191
4146.666504,4107.179199,4194.358887,4195.897461,4170.256348,4191.281738,4190.256348,4194.871582,4178.461426,4179.487305,4186.153809,4061.025635,4168.205078,4194.358887
4146.153809,4090.256348,4196.410156,4195.384277,4168.205078,4194.358887,4194.871582,4195.384277,4170.769043,4168.205078,4184.102539,4061.53833,4166.666504,4197.436035
4150.256348,4122.05127,4195.897461,4194.358887,4172.820313,4193.333008,4196.410156,4196.410156,4176.922852,4173.846191,4188.205078,4064.615234,4168.717773,4197.94873
4147.179199,4132.820313,4199.487305,4192.820313,4173.846191,4193.846191,4198.461426,4196.922852,4178.461426,4175.897461,4189.743652,4062.563965,4168.717773,4195.384277
4142.563965,4120.512695,4193.333008,4192.307617,4172.820313,4192.820313,4195.384277,4195.384277,4172.307617,4182.563965,4187.179199,4062.05127,4167.179199,4194.871582
4134.358887,4107.692383,4196.922852,4200,4168.205078,4193.846191,4198.974121,4196.410156,4166.666504,4186.666504,4186.153809,4062.05127,4162.05127,4196.410156
4140.512695,4116.922852,4196.410156,4196.410156,4168.205078,4191.794922,4195.897461,4196.410156,4177.94873,4188.205078,4188.205078,4058.974365,4167.692383,4195.897461
4145.641113,4112.307617,4196.922852,4194.871582,4172.307617,4192.820313,4196.410156,4194.871582,4178.974121,4181.538574,4188.717773,4059.487061,4168.205078,4192.820313
4144.615234,4121.538574,4192.820313,4195.897461,4177.436035,4192.820313,4196.410156,4194.358887,4174.871582,4185.641113,4187.692383,4060,4163.07666,4191.794922
4142.563965,4112.820313,4194.871582,4196.922852,4175.384277,4194.871582,4196.922852,4196.410156,4172.820313,4185.641113,4184.615234,4058.461426,4163.07666,4195.384277
4147.179199,4113.333008,4197.94873,4192.820313,4172.820313,4194.358887,4195.384277,4196.410156,4174.358887,4177.94873,4184.102539,4058.461426,4171.281738,4197.436035
4145.12793,4121.538574,4199.487305,4192.820313,4175.897461,4194.358887,4197.436035,4195.384277,4171.794922,4180.512695,4186.153809,4061.025635,4171.794922,4194.358887
4140,4123.07666,4195.897461,4192.820313,4175.384277,4193.333008,4197.436035,4196.922852,4170.769043,4191.794922,4186.666504,4061.025635,4166.666504,4193.333008
4137.94873,4120,4195.897461,4193.846191,4172.820313,4193.333008,4196.410156,4198.461426,4174.871582,4197.94873,4186.666504,4062.05127,4168.205078,4196.922852
4140,4112.307617,4201.538574,4195.897461,4172.820313,4195.384277,4197.94873,4195.897461,4175.384277,4193.333008,4188.717773,4064.102539,4169.743652,4196.922852
4142.05127,4110.769043,4196.410156,4193.333008,4174.871582,4194.358887,4195.897461,4195.897461,4178.461426,4188.717773,4188.717773,4063.076904,4170.256348,4195.897461
4135.897461,4107.692383,4196.922852,4193.333008,4172.820313,4194.871582,4195.897461,4196.922852,4177.436035,4190.256348,4188.205078,4061.025635,4169.743652,4195.384277
4132.820313,4109.743652,4197.436035,4193.846191,4173.846191,4195.897461,4197.436035,4196.922852,4179.487305,4196.922852,4189.743652,4060.512695,4171.794922,4196.922852
4136.922852,4099.487305,4199.487305,4197.436035,4174.358887,4196.410156,4200,4197.94873,4179.487305,4189.743652,4187.179199,4060,4170.769043,4196.922852
4145.641113,4108.717773,4196.410156,4195.384277,4177.436035,4191.794922,4195.897461,4197.94873,4185.641113,4200,4187.179199,4057.435791,4179.487305,4195.384277
4138.974121,4112.820313,4200,4197.436035,4178.461426,4195.384277,4199.487305,4196.922852,4186.666504,4213.846191,4190.256348,4055.897217,4183.07666,4194.871582
4133.846191,4114.358887,4192.820313,4194.871582,4177.436035,4195.897461,4197.94873,4196.410156,4186.153809,4214.871582,4188.205078,4056.410156,4180,4195.897461
4134.871582,4089.743408,4194.871582,4196.922852,4173.846191,4194.358887,4197.436035,4196.922852,4179.487305,4203.07666,4185.12793,4059.487061,4175.384277,4196.922852
4138.974121,4103.07666,4195.897461,4196.410156,4176.410156,4192.307617,4196.410156,4196.922852,4184.615234,4210.769043,4192.820313,4062.05127,4178.974121,4195.897461
4127.692383,4120,4201.025391,4197.94873,4176.922852,4196.410156,4200.512695,4196.410156,4186.153809,4205.12793,4195.384277,4057.435791,4175.897461,4196.410156
4126.153809,4116.410156,4197.436035,4194.358887,4177.94873,4193.333008,4195.384277,4194.358887,4185.12793,4203.589844,4187.179199,4052.820313,4176.922852,4195.897461
4133.846191,4098.974121,4197.94873,4193.846191,4178.461426,4193.333008,4192.307617,4195.384277,4184.102539,4206.666504,4184.102539,4058.974365,4181.025391,4195.897461
4137.436035,4115.384277,4195.897461,4191.794922,4179.487305,4193.846191,4193.333008,4196.410156,4191.794922,4207.179199,4187.179199,4066.153809,4183.589844,4195.897461
4135.384277,4116.922852,4197.436035,4194.358887,4179.487305,4191.794922,4197.436035,4194.358887,4189.743652,4205.641113,4187.692383,4061.025635,4182.05127,4194.871582
4142.563965,4120,4197.94873,4195.384277,4181.025391,4191.281738,4197.436035,4194.358887,4184.615234,4209.743652,4189.230469,4054.871582,4184.615234,4196.410156
4142.563965,4127.692383,4199.487305,4195.384277,4181.538574,4195.897461,4196.922852,4197.436035,4188.205078,4209.743652,4189.743652,4059.487061,4186.153809,4198.461426
