# H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:32:56.248939 2045 2037 2129.9589 2132.0397 2130.219 2132.0397 2130.7392 2128.9185 2129.4387 2131.7796 2134.3806 2135.6811 2131.7796 2129.1786 2157.7896 2513.6064 
14:32:56.250879 2044 2035 2130.9993 2133.3402 2131.7796 2131.7796 2131.2594 2136.2013 2129.4387 2131.5195 2133.0801 2136.9816 2132.0397 2131.7796 2158.3098 2513.6064 
14:32:56.252827 2044 2036 2128.9185 2134.6407 2134.1205 2133.6003 2133.3402 2138.022 2129.6988 2133.0801 2133.6003 2135.6811 2131.7796 2132.82 2157.7896 2510.4852 
14:32:56.254802 2047 2039 2130.7392 2132.0397 2133.3402 2131.2594 2130.4791 2129.9589 2126.8377 2133.0801 2133.8604 2134.9008 2132.82 2133.3402 2159.3502 2511.7857 
14:32:56.256808 2047 2039 2130.7392 2132.0397 2132.82 2129.9589 2130.219 2122.9362 2130.7392 2132.2998 2132.2998 2134.1205 2132.2998 2133.3402 2159.0901 2513.6064 
14:32:56.258669 2045 2039 2131.7796 2131.7796 2132.5599 2129.4387 2129.4387 2125.2771 2130.219 2133.0801 2132.2998 2133.8604 2132.82 2136.9816 2160.1305 2516.9877 
14:32:56.260664 2046 2039 2132.2998 2129.6988 2131.2594 2130.4791 2128.9185 2132.2998 2128.1382 2134.1205 2132.2998 2134.1205 2133.0801 2136.2013 2160.1305 2513.8665 
14:32:56.261699 2043 2037 2133.8604 2129.4387 2129.9589 2129.9589 2129.4387 2137.5018 2127.3579 2132.82 2131.7796 2134.3806 2133.8604 2134.9008 2159.8704 2515.9473 
14:32:56.262561 2044 2037 2134.3806 2132.5599 2130.219 2130.219 2130.9993 2140.3629 2130.9993 2132.5599 2132.2998 2134.9008 2133.6003 2136.7215 2160.1305 2518.8084 
14:32:56.263618 2045 2037 2132.82 2133.6003 2132.0397 2131.2594 2131.2594 2133.8604 2131.7796 2134.6407 2134.1205 2135.9412 2135.1609 2137.7619 2159.6103 2514.6468 
