# H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:35:23.265621 2044 2038 2130.7392 2130.7392 2131.5195 2128.1382 2130.219 2125.5372 2125.017 2130.9993 2132.0397 2133.6003 2130.9993 2132.0397 2158.83 2505.8034 
14:35:23.273560 2043 2037 2129.9589 2132.0397 2132.82 2130.4791 2131.5195 2133.6003 2128.3983 2132.2998 2132.2998 2136.4614 2132.0397 2132.82 2159.0901 2505.0231 
14:35:23.281558 2042 2036 2129.4387 2132.0397 2132.82 2132.82 2131.2594 2137.2417 2127.3579 2132.5599 2134.6407 2136.7215 2131.2594 2133.6003 2158.5699 2503.4625 
14:35:23.288609 2043 2037 2130.4791 2131.7796 2132.82 2131.5195 2130.219 2133.3402 2125.5372 2131.2594 2134.3806 2134.9008 2131.2594 2133.6003 2158.3098 2501.6418 
14:35:23.296582 2045 2039 2129.1786 2131.2594 2133.0801 2132.82 2130.9993 2127.3579 2129.9589 2131.5195 2132.0397 2134.1205 2132.5599 2133.8604 2158.0497 2499.8211 
14:35:23.304371 2046 2039 2130.7392 2131.2594 2131.7796 2132.5599 2130.9993 2124.4968 2130.4791 2131.7796 2130.7392 2133.6003 2133.3402 2133.3402 2158.3098 2504.763 
14:35:23.312375 2045 2038 2130.7392 2130.9993 2133.3402 2132.0397 2130.9993 2125.7973 2131.2594 2132.0397 2132.2998 2134.1205 2133.8604 2133.0801 2158.83 2503.2024 
14:35:23.320375 2045 2038 2133.3402 2130.4791 2133.3402 2129.4387 2129.1786 2133.3402 2131.2594 2131.5195 2133.6003 2134.9008 2134.1205 2139.0624 2161.6911 2505.5433 
14:35:23.328378 2043 2037 2132.0397 2130.4791 2133.0801 2131.2594 2130.7392 2138.5422 2133.3402 2133.0801 2134.3806 2134.3806 2135.421 2140.8831 2161.9512 2503.7226 
14:35:23.336377 2045 2037 2134.1205 2131.2594 2132.2998 2130.219 2131.5195 2136.9816 2129.4387 2132.0397 2133.8604 2134.6407 2136.4614 2138.5422 2162.4714 2509.965 
14:35:23.344390 2046 2037 2131.7796 2132.5599 2132.2998 2132.0397 2134.3806 2130.7392 2133.0801 2131.2594 2133.3402 2134.9008 2133.3402 2136.9816 2162.2113 2506.8438 
14:35:23.351388 2046 2040 2133.3402 2131.7796 2130.7392 2130.219 2131.7796 2125.5372 2129.9589 2131.5195 2133.3402 2134.9008 2131.2594 2141.4033 2163.7719 2510.2251 
14:35:23.359387 2047 2039 2130.9993 2133.0801 2131.7796 2130.9993 2131.2594 2124.4968 2130.4791 2131.7796 2133.3402 2134.3806 2129.9589 2135.6811 2159.6103 2506.3236 
14:35:23.367386 2043 2037 2130.4791 2133.8604 2130.7392 2130.4791 2131.5195 2130.219 2129.6988 2129.9589 2132.2998 2134.1205 2129.4387 2131.5195 2158.83 2507.6241 
14:35:23.375395 2044 2037 2128.6584 2133.0801 2130.219 2133.8604 2135.6811 2138.022 2133.0801 2131.5195 2131.2594 2134.3806 2128.6584 2129.6988 2158.0497 2501.6418 
14:35:23.383393 2043 2037 2130.9993 2132.5599 2131.5195 2133.6003 2132.0397 2137.5018 2128.1382 2132.0397 2131.5195 2134.3806 2130.4791 2131.7796 2157.7896 2502.9423 
14:35:23.391393 2044 2037 2130.219 2133.6003 2132.5599 2132.82 2128.9185 2128.6584 2127.3579 2130.4791 2132.5599 2134.1205 2130.7392 2131.5195 2157.0093 2502.9423 
