# H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:31:48.126171 2044 2037 2123.9766 2123.9766 2139.5826 2140.8831 2131.2594 2123.1963 2129.4387 2135.421 2135.9412 2135.1609 2150.2467 2147.9058 2161.9512 2509.965 
14:31:48.127265 2044 2037 2124.2367 2144.0043 2120.3352 2119.0347 2144.2644 2147.1255 2143.7442 2132.0397 2127.618 2133.3402 2101.0878 2094.3252 2146.8654 2493.5787 
14:31:48.128178 2044 2036 2141.9235 2144.2644 2115.6534 2112.5322 2137.7619 2148.9462 2134.6407 2125.7973 2126.5776 2134.3806 2099.007 2108.1105 2155.1886 2526.6114 
14:31:48.129368 2045 2037 2142.1836 2129.9589 2129.1786 2127.8781 2126.5776 2131.5195 2123.9766 2127.618 2132.0397 2135.1609 2131.7796 2142.7038 2165.8527 2539.0962 
14:31:48.131156 2045 2038 2126.8377 2130.219 2133.0801 2133.3402 2130.9993 2128.9185 2129.9589 2130.9993 2133.0801 2135.1609 2131.7796 2128.9185 2158.5699 2513.0862 
14:31:48.132145 2047 2038 2130.9993 2137.2417 2125.7973 2125.017 2134.9008 2136.4614 2130.9993 2127.8781 2130.9993 2134.6407 2116.9539 2116.1736 2155.1886 2511.7857 
14:31:48.133159 2046 2038 2135.1609 2131.2594 2132.5599 2131.5195 2127.618 2128.6584 2123.1963 2128.9185 2133.0801 2135.6811 2134.6407 2139.0624 2161.9512 2521.9296 
14:31:48.134121 2044 2037 2128.1382 2133.8604 2131.7796 2130.7392 2130.4791 2131.7796 2129.9589 2131.5195 2132.2998 2134.6407 2128.3983 2126.0574 2156.7492 2506.0635 
14:31:48.135178 2045 2037 2131.7796 2131.7796 2131.2594 2130.4791 2130.219 2129.9589 2127.8781 2130.7392 2132.2998 2134.3806 2130.9993 2132.82 2159.8704 2514.1266 
14:31:48.137941 2046 2037 2131.7796 2131.2594 2131.7796 2132.82 2131.2594 2127.618 2129.6988 2131.7796 2133.0801 2134.6407 2133.3402 2135.421 2160.1305 2511.7857 
14:31:48.145923 2046 2036 2132.5599 2132.2998 2131.7796 2132.5599 2130.7392 2129.1786 2131.5195 2131.2594 2132.5599 2135.1609 2132.2998 2134.9008 2160.1305 2514.9069 
14:31:48.154010 2046 2037 2132.2998 2130.7392 2132.5599 2133.3402 2130.4791 2130.219 2131.5195 2131.5195 2132.82 2135.1609 2134.6407 2136.2013 2160.9108 2515.6872 
14:31:48.169932 2045 2038 2132.2998 2131.5195 2130.4791 2130.7392 2132.2998 2130.7392 2131.2594 2130.7392 2133.3402 2135.421 2133.0801 2138.022 2161.9512 2517.768 
14:31:48.176924 2045 2039 2128.9185 2133.0801 2131.2594 2130.9993 2132.2998 2131.7796 2132.0397 2130.7392 2132.5599 2135.1609 2132.0397 2136.7215 2161.1709 2519.3286 
14:31:48.185012 2044 2039 2128.9185 2133.3402 2131.5195 2131.2594 2131.5195 2132.0397 2130.7392 2130.9993 2133.0801 2134.3806 2132.2998 2134.1205 2159.3502 2515.9473 
14:31:48.192933 2045 2040 2129.9589 2132.82 2130.9993 2131.5195 2130.7392 2130.4791 2129.4387 2130.9993 2133.6003 2135.1609 2130.219 2131.7796 2159.6103 2515.9473 
14:31:48.200931 2045 2038 2130.7392 2133.0801 2131.5195 2131.7796 2131.2594 2129.9589 2129.9589 2129.9589 2133.3402 2135.6811 2129.6988 2130.219 2158.83 2517.5079 
14:31:48.208925 2046 2037 2131.7796 2133.6003 2132.2998 2132.5599 2132.5599 2130.219 2129.9589 2130.4791 2133.8604 2134.9008 2132.0397 2131.5195 2157.0093 2514.1266 
14:31:48.217005 2047 2038 2130.9993 2133.8604 2132.0397 2132.2998 2132.0397 2130.9993 2128.6584 2130.219 2134.1205 2134.3806 2132.82 2133.6003 2158.3098 2511.5256 
14:31:48.224933 2046 2039 2130.7392 2133.0801 2132.5599 2131.2594 2130.4791 2129.4387 2127.618 2130.4791 2133.3402 2134.9008 2132.2998 2135.421 2160.1305 2512.8261 
14:31:48.232932 2046 2038 2132.5599 2132.0397 2131.7796 2131.5195 2130.4791 2128.6584 2126.5776 2130.4791 2132.2998 2135.1609 2132.2998 2134.9008 2159.0901 2513.0862 
14:31:48.240922 2045 2039 2133.8604 2131.5195 2130.7392 2131.5195 2130.219 2128.6584 2129.1786 2131.7796 2132.2998 2134.9008 2132.82 2133.0801 2158.3098 2514.1266 
14:31:48.247966 2046 2038 2132.0397 2130.9993 2132.0397 2131.2594 2129.4387 2128.1382 2130.7392 2132.82 2133.6003 2135.421 2135.1609 2137.5018 2160.1305 2516.2074 
14:31:48.255938 2047 2037 2130.7392 2131.5195 2132.82 2131.2594 2132.0397 2128.9185 2130.9993 2132.0397 2133.3402 2135.421 2133.8604 2137.7619 2160.9108 2513.8665 
14:31:48.263931 2046 2039 2131.5195 2131.2594 2132.2998 2131.5195 2132.82 2129.9589 2131.2594 2130.219 2132.5599 2134.1205 2132.82 2135.1609 2161.1709 2516.2074 
14:31:48.271950 2045 2040 2131.7796 2131.7796 2130.9993 2131.2594 2131.2594 2130.7392 2131.5195 2130.7392 2132.82 2133.0801 2132.0397 2135.1609 2161.1709 2520.6291 
14:31:48.280024 2045 2039 2130.4791 2132.5599 2131.7796 2132.2998 2130.7392 2130.4791 2130.7392 2130.7392 2133.8604 2133.8604 2134.1205 2139.5826 2162.4714 2519.8488 
14:31:48.287935 2044 2038 2130.219 2133.6003 2132.0397 2132.5599 2133.0801 2130.9993 2132.5599 2129.1786 2133.8604 2134.6407 2133.0801 2135.421 2159.8704 2515.9473 
14:31:48.295925 2044 2037 2130.9993 2131.7796 2131.7796 2132.82 2132.5599 2128.3983 2132.0397 2130.219 2133.6003 2134.6407 2132.82 2133.0801 2158.83 2518.8084 
14:31:48.303919 2046 2036 2130.9993 2131.7796 2130.4791 2132.82 2132.0397 2129.4387 2130.219 2130.9993 2133.6003 2134.1205 2131.7796 2133.0801 2160.1305 2517.5079 
14:31:48.311000 2046 2038 2130.7392 2133.0801 2131.2594 2133.3402 2132.0397 2131.2594 2128.3983 2129.1786 2133.0801 2134.9008 2132.0397 2133.0801 2160.6507 2513.0862 
14:31:48.318927 2046 2039 2131.7796 2133.3402 2132.5599 2132.5599 2131.2594 2129.1786 2127.8781 2129.6988 2132.0397 2135.9412 2132.0397 2132.0397 2158.83 2512.0458 
14:31:48.326923 2046 2040 2131.7796 2132.2998 2132.82 2133.6003 2129.6988 2127.0978 2128.1382 2132.82 2133.0801 2135.6811 2133.6003 2132.82 2158.83 2512.0458 
14:31:48.335013 2044 2037 2130.4791 2133.0801 2130.9993 2133.0801 2130.4791 2129.9589 2129.9589 2132.2998 2133.8604 2134.9008 2133.6003 2130.7392 2159.0901 2510.2251 
14:31:48.342969 2043 2036 2130.9993 2132.0397 2130.4791 2132.0397 2130.4791 2129.6988 2130.9993 2131.7796 2132.82 2134.9008 2133.8604 2132.82 2159.6103 2512.8261 
14:31:48.350966 2045 2038 2133.6003 2130.9993 2132.0397 2131.7796 2129.6988 2128.3983 2128.9185 2132.0397 2132.82 2134.9008 2134.9008 2136.4614 2159.8704 2514.9069 
14:31:48.358918 2046 2038 2133.6003 2131.7796 2132.2998 2132.2998 2132.0397 2129.9589 2130.4791 2132.0397 2134.9008 2135.1609 2135.421 2136.9816 2160.1305 2514.3867 
14:31:48.367228 2046 2038 2131.5195 2132.2998 2130.9993 2132.2998 2131.7796 2132.0397 2132.0397 2131.2594 2132.82 2135.6811 2135.1609 2138.022 2161.1709 2517.2478 
14:31:48.374921 2046 2039 2131.5195 2131.7796 2130.7392 2132.0397 2130.219 2132.82 2132.0397 2131.7796 2130.7392 2134.6407 2135.421 2139.8427 2161.431 2519.3286 
14:31:48.381918 2044 2039 2132.82 2130.219 2132.2998 2132.5599 2130.4791 2132.82 2129.6988 2131.2594 2132.82 2134.9008 2136.4614 2140.1028 2160.9108 2518.8084 
14:31:48.389916 2044 2038 2131.2594 2130.219 2131.5195 2133.0801 2131.2594 2130.219 2130.9993 2130.219 2134.3806 2135.9412 2132.82 2135.1609 2160.3906 2518.5483 
14:31:48.398223 2046 2038 2130.219 2131.5195 2131.7796 2133.0801 2131.5195 2128.3983 2131.2594 2130.4791 2133.8604 2135.1609 2131.7796 2133.8604 2161.431 2518.5483 
14:31:48.405920 2047 2039 2130.219 2133.0801 2132.5599 2132.2998 2133.8604 2130.7392 2131.2594 2131.2594 2133.3402 2135.1609 2132.5599 2132.0397 2159.6103 2514.9069 
14:31:48.413916 2046 2039 2130.7392 2132.5599 2132.0397 2132.2998 2132.0397 2129.9589 2128.1382 2130.9993 2133.0801 2137.2417 2133.3402 2132.0397 2158.3098 2515.4271 
